ad_id,ad_group_name,impressions,clicks,conversions,cost,Keywords
448088392534,PC clean up Soft-PH,206.0,11.0,2.0,30398193.0,"PC clean up Soft-PH, pc cleanup software"
468176118389,Limpiar PC,1869.0,111.0,2.0,50538772.0,"Limpiar PC, limpiar archivos basura de mi pc"
632923605343,Trage PC,573.0,133.0,2.0,164009764.0,"trage pc opschonen,Trage PC, pc wordt traag"
301405467314,Nettoyage Ordi - PH,492.0,35.0,2.0,39320000.0,"nettoyage ordi, comment faire un nettoyage de son pc,Nettoyage Ordi - PH"
643064912629,Limpiar PC - Mi PC,1987.0,225.0,2.0,103923790.0,"Limpiar PC - Mi PC, limpiador para computadora,limpiar pc"
279760846709,PC Cleaner,273.0,26.0,2.0,18161789.0," pc cleaner,PC Cleaner"
620171260531,Cleaner PC - EX,242.0,13.0,2.0,16990000.0," maintenance pc,Cleaner PC - EX"
593838806600,PC Reinigungsprogramm - EX,1199.0,118.0,2.0,228508056.0,"PC Reinigungsprogramm - EX,pc reinigungsprogramm, pc reinigungsprogramm freeware"
436554164115,PC Reinigen - BR,854.0,34.0,2.0,52179805.0,"PC Reinigen - BR, pc wartung"
621880941594,SpeedUpMyPC,614.0,28.0,1.7630029999999999,28590000.0,"pc 速度 改善,SpeedUpMyPC, pc 高速化 ソフト"
497791521521,PC Cleaner Software,462.0,31.0,1.5,100897005.0,"PC Cleaner Software,pc cleaning software, pc performance enhancer"
641096919241,Computer Versnellen,64.0,11.0,1.5,14903452.0,"pc versnellen,Computer Versnellen, computer versnellen"
301405467494,Nettoyage PC - Logiciel - EX,303.0,20.0,1.5,22310000.0," logiciel pour ordinateur,Nettoyage PC - Logiciel - EX"
598175741955,Pc cleaner-PH - PRIME,100.0,17.0,1.5,19590000.0,"Pc cleaner-PH - PRIME, pc cleaner"
301405467506,Nettoyer Ordinateur - EX,189.0,17.0,1.5,19335441.0," nettoyer mon ordinateur,Nettoyer Ordinateur - EX,nettoyer l'ordinateur"
284756641176,Pc cleaner PRIME,243.0,22.0,1.252948,92351770.0,"Pc cleaner PRIME, pc cleaner"
640102132752,Fix Computer - PH,2374.0,78.0,1.236997,195295382.0,"Fix Computer - PH, fix computer"
593838806606,PC Schneller Machen - PH,16.0,4.0,1.097681,9510847.0," computer schneller machen,PC Schneller Machen - PH"
468176118452,PC Cleaner - Descargar,849.0,149.0,1.090909,26856677.0,"PC Cleaner - Descargar, descargar pc cleaner"
468176118365,PC Cleaner - Pro,733.0,105.0,1.090909,52237956.0," pc cleaner,PC Cleaner - Pro"
448088392558,C cleaner.com-EX,92.0,16.0,1.055937,46789966.0," c cleaner com,C cleaner.com-EX"
640101319398,Fix Computer - PH,102.0,3.0,1.0,6531523.0,"Fix Computer - PH, fix pc"
594393826499,Cleaner PC,57.0,5.0,1.0,7810000.0," logiciel maintenance pc,Cleaner PC"
641096919247,Opstarten Versnellen,53.0,9.0,1.0,6709047.0," versnellen pc,Opstarten Versnellen"
594393826445,Nettoyer Ordi - PH,52.0,1.0,1.0,350000.0,"Nettoyer Ordi - PH, optimiser son pc"
657081891828,Pc cleaner-EX,14.0,1.0,1.0,70000.0,"Pc cleaner-EX, optimize my laptop"
614997316298,Computer Opschonen,56.0,8.0,1.0,7248478.0," geheugen computer opschonen,Computer Opschonen"
621880941747,Fix Computer,505.0,10.0,1.0,11523982.0,"Fix Computer, PCエラー"
620171260519,PC Cleaner Free - EX,9.0,3.0,1.0,1450000.0," pc cleaner gratuit entièrement,PC Cleaner Free - EX"
641096367295,Pc cleaner Free-PH,24.0,11.0,1.0,19150000.0," pc cleaner free,Pc cleaner Free-PH"
641040034242,CCleaner,1335.0,48.0,1.0,18626956.0," ccleaner,CCleaner"
646056653674,Speed Up PC - MOD BR,378.0,33.0,1.0,78861254.0,"Speed Up PC - MOD BR, speed up my pc"
623894782952,Clean Computer,1182.0,81.0,1.0,79427507.0,"Clean Computer, pc クリーン アップ"
657081891786,Clean Computer-PH,629.0,63.0,1.0,19840000.0," clean computer,Clean Computer-PH"
641040034239,Computer Lento,39.0,4.0,1.0,6630000.0,"Computer Lento, velocizzare il pc"
641040034236,PC Cleaner,1418.0,157.0,1.0,139366602.0," pc cleaner,PC Cleaner"
657081891783,Clean Computer-PH,356.0,31.0,1.0,4451666.0," clean computer,Clean Computer-PH"
641040034230,PC Cleaner Gratis,240.0,26.0,1.0,24461168.0," pc cleaner gratis,PC Cleaner Gratis"
648784812156,CCCleaner - EX,87.0,15.0,1.0,14611428.0,"CCCleaner - EX, cccleaner"
640102132749,Fix Computer - PH,938.0,46.0,1.0,114032045.0,"Fix Computer - PH, fix computer"
640101319401,Fix Computer - PH,282.0,9.0,1.0,11805537.0,"Fix Computer - PH, fix windows"
643064912632,C Cleaner - Gratis,1151.0,267.0,1.0,79115783.0," c cleaner gratis,C Cleaner - Gratis"
200264367594,PC Cleaner,55.0,2.0,1.0,1120000.0," pc cleaner,PC Cleaner"
448088392717,Ccleaner.com-PH,71.0,9.0,1.0,15336142.0,"Ccleaner.com-PH, ccleaner com free"
463233416341,Pc cleaner,158.0,15.0,1.0,6290000.0," 無料 pc クリーナー,Pc cleaner"
448088392540,Clean My Computer-PH,145.0,19.0,1.0,72077964.0,"Clean My Computer-PH, clean my computer free"
440345693190,Speed Up PC,60.0,5.0,1.0,20740000.0," improve pc speed windows 10,Speed Up PC"
